name,cuisine,address,distinction,author,blurb,price,add_info
"
	Karczma
",Cuisine Polish,na,na,MICHELIN guide inspectors,na,na,na
"
	Selamat Pagi
",Cuisine Indonesian,na,na,MICHELIN guide inspectors,na,na,na
"
	Lucky Luna
",Cuisine Fusion,na,na,MICHELIN guide inspectors,na,na,na
"
	Arrogant Swine
",Cuisine Barbecue,na,na,MICHELIN guide inspectors,na,na,na
"
	Fitzcarraldo
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	L'Antagoniste
",Cuisine French,na,na,MICHELIN guide inspectors,na,na,na
"
	Anella
",Cuisine Contemporary,na,na,MICHELIN guide inspectors,na,na,na
"
	Dear Bushwick
",Cuisine Contemporary,na,na,MICHELIN guide inspectors,na,na,na
"
	Falansai
",Cuisine Vietnamese,na,na,MICHELIN guide inspectors,na,na,na
"
	El Mio Cid
",Cuisine Spanish,na,na,MICHELIN guide inspectors,na,na,na
"
	Mominette
",Cuisine French,na,na,MICHELIN guide inspectors,na,na,na
"
	Northeast Kingdom
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	Faro
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	Lucky Eight
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Mimi's Hummus
",Cuisine Mediterranean,na,na,MICHELIN guide inspectors,na,na,na
"
	Pacificana
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Lea
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	The Farm on Adderley
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	East Harbor Seafood Palace
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Bamboo Garden
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Park Asia
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Petit Oven
",Cuisine French,na,na,MICHELIN guide inspectors,na,na,na
"
	Tanoreen
",Cuisine Middle Eastern,na,na,MICHELIN guide inspectors,na,na,na
"
	Taci's Beyti
",Cuisine Turkish,na,na,MICHELIN guide inspectors,na,na,na
"
	Mill Basin Kosher Delicatessen
",Cuisine Deli,na,na,MICHELIN guide inspectors,na,na,na
"
	Mtskheta Café
",Cuisine Central Asian,na,na,MICHELIN guide inspectors,na,na,na
"
	Nargis Cafe
",Cuisine Central Asian,na,na,MICHELIN guide inspectors,na,na,na
"
	Mexicosina
",Cuisine Mexican,na,na,MICHELIN guide inspectors,na,na,na
"
	Ceetay
",Cuisine Asian,na,na,MICHELIN guide inspectors,na,na,na
"
	El Nuevo Bohío
",Cuisine Puerto Rican,na,na,MICHELIN guide inspectors,na,na,na
"
	Beso
",Cuisine Spanish,na,na,MICHELIN guide inspectors,na,na,na
"
	Enoteca Maria
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	San Rasa
",Cuisine Sri Lankan,na,na,MICHELIN guide inspectors,na,na,na
"
	Dosa Garden
",Cuisine Indian,na,na,MICHELIN guide inspectors,na,na,na
"
	Vida
",Cuisine American,na,na,MICHELIN guide inspectors,na,na,na
"
	Lakruwana
",Cuisine Sri Lankan,na,na,MICHELIN guide inspectors,na,na,na
"
	Maizal
",Cuisine Mexican,na,na,MICHELIN guide inspectors,na,na,na
"
	Bayou
",Cuisine Cajun,na,na,MICHELIN guide inspectors,na,na,na
"
	Bin 5
",Cuisine Contemporary,na,na,MICHELIN guide inspectors,na,na,na
"
	Bocelli
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Trattoria Romana da Vittorio
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Mario's
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Fushimi
",Cuisine Fusion,na,na,MICHELIN guide inspectors,na,na,na
"
	Giuliana's
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Cafe Luna
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Hahm Ji Bach
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Kang Ho Dong Baekjeong
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Biáng!
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Dumpling Galaxy
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan Kitchen of Grand Sichuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Joe's Shanghai
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan House
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Lu Xiang Yuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Imperial Palace
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Sik Gaek
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Tong Sam Gyup Goo Yi
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Happy Family Hotpot
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Iki Japanese
",Cuisine Japanese,na,na,MICHELIN guide inspectors,na,na,na
"
	Nan Xiang Xiao Long Bao
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Asian Jewels
",Cuisine Seafood,na,na,MICHELIN guide inspectors,na,na,na
"
	Crazy Crab 888
",Cuisine Burmese,na,na,MICHELIN guide inspectors,na,na,na
"
	Main Street Imperial Taiwanese Gourmet
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Mythos
",Cuisine Greek,na,na,MICHELIN guide inspectors,na,na,na
"
	Tang
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Urubamba
",Cuisine Peruvian,na,na,MICHELIN guide inspectors,na,na,na
"
	Parkside
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Cheburechnaya
",Cuisine Central Asian,na,na,MICHELIN guide inspectors,na,na,na
"
	Hahm Ji Bach
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Kang Ho Dong Baekjeong
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Biáng!
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Dumpling Galaxy
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan Kitchen of Grand Sichuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Joe's Shanghai
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan House
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Lu Xiang Yuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Imperial Palace
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Sik Gaek
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Tong Sam Gyup Goo Yi
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Happy Family Hotpot
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Iki Japanese
",Cuisine Japanese,na,na,MICHELIN guide inspectors,na,na,na
"
	Nan Xiang Xiao Long Bao
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Asian Jewels
",Cuisine Seafood,na,na,MICHELIN guide inspectors,na,na,na
"
	Crazy Crab 888
",Cuisine Burmese,na,na,MICHELIN guide inspectors,na,na,na
"
	Main Street Imperial Taiwanese Gourmet
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Mythos
",Cuisine Greek,na,na,MICHELIN guide inspectors,na,na,na
"
	Tang
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Urubamba
",Cuisine Peruvian,na,na,MICHELIN guide inspectors,na,na,na
"
	Parkside
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Cheburechnaya
",Cuisine Central Asian,na,na,MICHELIN guide inspectors,na,na,na
"
	Hahm Ji Bach
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Kang Ho Dong Baekjeong
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Biáng!
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Dumpling Galaxy
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan Kitchen of Grand Sichuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Joe's Shanghai
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan House
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Lu Xiang Yuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Imperial Palace
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Sik Gaek
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Tong Sam Gyup Goo Yi
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Happy Family Hotpot
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Iki Japanese
",Cuisine Japanese,na,na,MICHELIN guide inspectors,na,na,na
"
	Nan Xiang Xiao Long Bao
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Asian Jewels
",Cuisine Seafood,na,na,MICHELIN guide inspectors,na,na,na
"
	Crazy Crab 888
",Cuisine Burmese,na,na,MICHELIN guide inspectors,na,na,na
"
	Main Street Imperial Taiwanese Gourmet
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Mythos
",Cuisine Greek,na,na,MICHELIN guide inspectors,na,na,na
"
	Tang
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Urubamba
",Cuisine Peruvian,na,na,MICHELIN guide inspectors,na,na,na
"
	Parkside
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Cheburechnaya
",Cuisine Central Asian,na,na,MICHELIN guide inspectors,na,na,na
"
	Hahm Ji Bach
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Kang Ho Dong Baekjeong
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Biáng!
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Dumpling Galaxy
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan Kitchen of Grand Sichuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Joe's Shanghai
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan House
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Lu Xiang Yuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Imperial Palace
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Sik Gaek
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Tong Sam Gyup Goo Yi
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Happy Family Hotpot
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Iki Japanese
",Cuisine Japanese,na,na,MICHELIN guide inspectors,na,na,na
"
	Nan Xiang Xiao Long Bao
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Asian Jewels
",Cuisine Seafood,na,na,MICHELIN guide inspectors,na,na,na
"
	Crazy Crab 888
",Cuisine Burmese,na,na,MICHELIN guide inspectors,na,na,na
"
	Main Street Imperial Taiwanese Gourmet
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Mythos
",Cuisine Greek,na,na,MICHELIN guide inspectors,na,na,na
"
	Tang
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Urubamba
",Cuisine Peruvian,na,na,MICHELIN guide inspectors,na,na,na
"
	Parkside
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Cheburechnaya
",Cuisine Central Asian,na,na,MICHELIN guide inspectors,na,na,na
"
	Hahm Ji Bach
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Kang Ho Dong Baekjeong
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Biáng!
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Dumpling Galaxy
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan Kitchen of Grand Sichuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Joe's Shanghai
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan House
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Lu Xiang Yuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Imperial Palace
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Sik Gaek
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Tong Sam Gyup Goo Yi
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Happy Family Hotpot
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Iki Japanese
",Cuisine Japanese,na,na,MICHELIN guide inspectors,na,na,na
"
	Nan Xiang Xiao Long Bao
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Asian Jewels
",Cuisine Seafood,na,na,MICHELIN guide inspectors,na,na,na
"
	Crazy Crab 888
",Cuisine Burmese,na,na,MICHELIN guide inspectors,na,na,na
"
	Main Street Imperial Taiwanese Gourmet
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Mythos
",Cuisine Greek,na,na,MICHELIN guide inspectors,na,na,na
"
	Tang
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Urubamba
",Cuisine Peruvian,na,na,MICHELIN guide inspectors,na,na,na
"
	Parkside
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Cheburechnaya
",Cuisine Central Asian,na,na,MICHELIN guide inspectors,na,na,na
"
	Hahm Ji Bach
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Kang Ho Dong Baekjeong
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Biáng!
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Dumpling Galaxy
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan Kitchen of Grand Sichuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Joe's Shanghai
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan House
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Lu Xiang Yuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Imperial Palace
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Sik Gaek
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Tong Sam Gyup Goo Yi
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Happy Family Hotpot
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Iki Japanese
",Cuisine Japanese,na,na,MICHELIN guide inspectors,na,na,na
"
	Nan Xiang Xiao Long Bao
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Asian Jewels
",Cuisine Seafood,na,na,MICHELIN guide inspectors,na,na,na
"
	Crazy Crab 888
",Cuisine Burmese,na,na,MICHELIN guide inspectors,na,na,na
"
	Main Street Imperial Taiwanese Gourmet
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Mythos
",Cuisine Greek,na,na,MICHELIN guide inspectors,na,na,na
"
	Tang
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Urubamba
",Cuisine Peruvian,na,na,MICHELIN guide inspectors,na,na,na
"
	Parkside
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Cheburechnaya
",Cuisine Central Asian,na,na,MICHELIN guide inspectors,na,na,na
"
	Hahm Ji Bach
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Kang Ho Dong Baekjeong
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Biáng!
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Dumpling Galaxy
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan Kitchen of Grand Sichuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Joe's Shanghai
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan House
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Lu Xiang Yuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Imperial Palace
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Sik Gaek
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Tong Sam Gyup Goo Yi
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Happy Family Hotpot
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Iki Japanese
",Cuisine Japanese,na,na,MICHELIN guide inspectors,na,na,na
"
	Nan Xiang Xiao Long Bao
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Asian Jewels
",Cuisine Seafood,na,na,MICHELIN guide inspectors,na,na,na
"
	Crazy Crab 888
",Cuisine Burmese,na,na,MICHELIN guide inspectors,na,na,na
"
	Main Street Imperial Taiwanese Gourmet
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Mythos
",Cuisine Greek,na,na,MICHELIN guide inspectors,na,na,na
"
	Tang
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Urubamba
",Cuisine Peruvian,na,na,MICHELIN guide inspectors,na,na,na
"
	Parkside
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Cheburechnaya
",Cuisine Central Asian,na,na,MICHELIN guide inspectors,na,na,na
"
	Hahm Ji Bach
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Kang Ho Dong Baekjeong
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Biáng!
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Dumpling Galaxy
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan Kitchen of Grand Sichuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Joe's Shanghai
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan House
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Lu Xiang Yuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Imperial Palace
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Sik Gaek
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Tong Sam Gyup Goo Yi
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Happy Family Hotpot
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Iki Japanese
",Cuisine Japanese,na,na,MICHELIN guide inspectors,na,na,na
"
	Nan Xiang Xiao Long Bao
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Asian Jewels
",Cuisine Seafood,na,na,MICHELIN guide inspectors,na,na,na
"
	Crazy Crab 888
",Cuisine Burmese,na,na,MICHELIN guide inspectors,na,na,na
"
	Main Street Imperial Taiwanese Gourmet
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Mythos
",Cuisine Greek,na,na,MICHELIN guide inspectors,na,na,na
"
	Tang
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Urubamba
",Cuisine Peruvian,na,na,MICHELIN guide inspectors,na,na,na
"
	Parkside
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Cheburechnaya
",Cuisine Central Asian,na,na,MICHELIN guide inspectors,na,na,na
"
	Hahm Ji Bach
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Kang Ho Dong Baekjeong
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Biáng!
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Dumpling Galaxy
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan Kitchen of Grand Sichuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Joe's Shanghai
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan House
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Lu Xiang Yuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Imperial Palace
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Sik Gaek
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Tong Sam Gyup Goo Yi
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Happy Family Hotpot
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Iki Japanese
",Cuisine Japanese,na,na,MICHELIN guide inspectors,na,na,na
"
	Nan Xiang Xiao Long Bao
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Asian Jewels
",Cuisine Seafood,na,na,MICHELIN guide inspectors,na,na,na
"
	Crazy Crab 888
",Cuisine Burmese,na,na,MICHELIN guide inspectors,na,na,na
"
	Main Street Imperial Taiwanese Gourmet
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Mythos
",Cuisine Greek,na,na,MICHELIN guide inspectors,na,na,na
"
	Tang
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Urubamba
",Cuisine Peruvian,na,na,MICHELIN guide inspectors,na,na,na
"
	Parkside
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Cheburechnaya
",Cuisine Central Asian,na,na,MICHELIN guide inspectors,na,na,na
"
	Hahm Ji Bach
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Kang Ho Dong Baekjeong
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Biáng!
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Dumpling Galaxy
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan Kitchen of Grand Sichuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Joe's Shanghai
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan House
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Lu Xiang Yuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Imperial Palace
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Sik Gaek
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Tong Sam Gyup Goo Yi
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Happy Family Hotpot
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Iki Japanese
",Cuisine Japanese,na,na,MICHELIN guide inspectors,na,na,na
"
	Nan Xiang Xiao Long Bao
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Asian Jewels
",Cuisine Seafood,na,na,MICHELIN guide inspectors,na,na,na
"
	Crazy Crab 888
",Cuisine Burmese,na,na,MICHELIN guide inspectors,na,na,na
"
	Main Street Imperial Taiwanese Gourmet
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Mythos
",Cuisine Greek,na,na,MICHELIN guide inspectors,na,na,na
"
	Tang
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Urubamba
",Cuisine Peruvian,na,na,MICHELIN guide inspectors,na,na,na
"
	Parkside
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Cheburechnaya
",Cuisine Central Asian,na,na,MICHELIN guide inspectors,na,na,na
"
	Hahm Ji Bach
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Kang Ho Dong Baekjeong
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Biáng!
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Dumpling Galaxy
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan Kitchen of Grand Sichuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Joe's Shanghai
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan House
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Lu Xiang Yuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Imperial Palace
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Sik Gaek
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Tong Sam Gyup Goo Yi
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Happy Family Hotpot
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Iki Japanese
",Cuisine Japanese,na,na,MICHELIN guide inspectors,na,na,na
"
	Nan Xiang Xiao Long Bao
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Asian Jewels
",Cuisine Seafood,na,na,MICHELIN guide inspectors,na,na,na
"
	Crazy Crab 888
",Cuisine Burmese,na,na,MICHELIN guide inspectors,na,na,na
"
	Main Street Imperial Taiwanese Gourmet
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Mythos
",Cuisine Greek,na,na,MICHELIN guide inspectors,na,na,na
"
	Tang
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Urubamba
",Cuisine Peruvian,na,na,MICHELIN guide inspectors,na,na,na
"
	Parkside
",Cuisine Italian,na,na,MICHELIN guide inspectors,na,na,na
"
	Cheburechnaya
",Cuisine Central Asian,na,na,MICHELIN guide inspectors,na,na,na
"
	Hahm Ji Bach
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Kang Ho Dong Baekjeong
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Biáng!
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Dumpling Galaxy
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan Kitchen of Grand Sichuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Joe's Shanghai
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Hunan House
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Lu Xiang Yuan
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Imperial Palace
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
"
	Sik Gaek
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Tong Sam Gyup Goo Yi
",Cuisine Korean,na,na,MICHELIN guide inspectors,na,na,na
"
	Happy Family Hotpot
",Cuisine Chinese,na,na,MICHELIN guide inspectors,na,na,na
