name,cuisine,blurb,ZIP,latitude,longitude,avg_USD,stars,bib,assiette,wine,view,garden,outside_dining,air_conditioning,no_dogs,parking,dinner_only,wheelchair,private_dining,with_rooms,booking,lunch_only,dinner_tasting,valet
Blaue Gans, Austrian,"This sleek, unbridled Viennese-style café feels almost smoky and well-worn, but never out of touch. Its walls are papered with vintage movie posters, while banquettes and tables dominate the dining space. Blaue Gans' strong, loyal following (an increasingly rare feat in the city) is comprised of locals engaging in familiar banter at the bar or communal table. Everyone is here for the impressive Austrian cooking, which may unveil a beautiful bibb, pumpkin seed, and shaved radish salad with a light, creamy pumpkin oil dressing. Other classic treasures include pork Jäger schnitzel with mushrooms, bacon, and herbed spätzle; or classic kavalierspitz accompanied by salty creamed spinach and sweet-tart apple horseradish. Delish desserts will have you at hello.",10013,40.71647,-74.00754,37.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
J.G. Melon, American,"Posterity will remember J.G. Melon as a classic and coveted New York institution. Make your way into this cave set upon a cozy Upper East corner, where the timeless vibe and cheery staff make up most of its allure. Drinks are steadily churned out at a dark wood bar, so arrive early to avoid the hordes. The focus at this multi-generational saloon is the burger-perhaps paired with a lip-smacking Bloody Mary at brunch? The warm toasted bun topped with meat cooked on a griddle to rosy pink is coupled with onions, pickles, and crispy crinkle-cut fries. Be forewarned: you will go through the entire stack of napkins before finishing. Other simple pleasures include standards like salads, steaks, and eggs. Seal the meal with a chocolate chip-studded layer cake.",10021,40.77117,-73.95929,18.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Brasserie Ruhlmann, French,"True, some New Yorkers may think of this place as kind of touristy, but this is quintessential brasserie cooking in an equally quintessential Manhattan setting at the base of Rockefeller Center, overlooking its plaza. There is little debate that this French bijou offers some of the best people-watching around. The décor pays homage to its art deco namesake, Émile-Jacques Ruhlmann, through edgy lines and geometric prints. Some dishes may be on the menu more for pleasing the crowds than reflecting tradition (hence the sushi rolls). Still, the croque monsieur is everything you dream it to be-impossibly rich with paper-thin and salty jambon de Paris, creamy béchamel, and a dangerously good layering of melted Gruyère over thick slices of brioche.",10019,40.75911,-73.97796,62.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
El Parador, Mexican,"This neighborhood mainstay boasts over fifty years of success. With their fantastic menu, killer margaritas, and dedication to hospitality, El Parador is worthy of its status as a beloved destination. The intimate space is decked with ornate wood chairs, red banquettes, and wood plank ceilings, while white brick walls are hung with artwork and artifacts. The bountiful menu offers favorites like taco trays and nachos in three varieties, as well as a rotating menu of daily specials (be sure to try the fish of the day). Fill up on aguachile de camaron, deliciously classic shrimp ceviche in lime juice and jalapeño; or tender, falling-off-the-bone baby-back ribs served with tequila-chili guajillo salsa, cabbage slaw, and braised camote. Margaritas are a must, but of course.",10016,40.74461,-73.97462,37.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Beccofino, Italian,"Beccofino is an earnest neighborhood darling that is never taken for granted. Inside, string lights, exposed brick, and colorful, life-sized posters fashion a rustic bistro setting for indulging in their Italian-American favorites (with plenty of bread for sopping up sauces). Expect meals to be well-paced and the dedicated staff to ensure that everything is made to your liking. Some dishes stray from being genuinely Italian but are nonetheless popular and surprisingly good, like seafood-stuffed manicotti topped with a generous amount of shrimp bisque and mild mozzarella. A crowd-pleasing chicken Milanese arrives as an insanely savory cutlet, pounded thin and sautéed, topped with broccoli rabe, chili flakes, spicy tomato sauce, and more melting mozzarella.",10471,40.90527,-73.90048,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brisas del Caribe, Latin American,"Thanks to a major exterior facelift, Brisas del Caribe is looking finer than ever. The interior is still adorned with frescos of Caribbean beach scenes and benches to ease the wait for tables, but everyone's eyes are drawn to the piles of food, sopas, and counters laden with freshly made cakes sold by the slice. No matter the time of day, this place is packed with large families and groups of locals enjoying copious amounts of hot, tasty, ridiculously affordable comfort food. Start with a hearty Dominican treat like sancocho, or go for relleno de papa, deep-fried mashed potatoes stuffed with gooey cheese and aromatic ground meat. Don't miss the superb patitas de cerdo, a stew of pig's feet with cassava, potatoes, herbs, and strips of tripe.",10462,40.83212,-73.85135,18.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bayou, Cajun,"Southern food isn't novel to the city, but Cajun cuisine on Staten Island is a whole new realm. Bayou delivers with its veritable setting and spread. The space is a bit bawdy with gold and green accents, but linen-covered tables, luminous mirrors, and chandeliers lend refinement. Live music on occasion also to the lure. Kitchen offerings begin with wonderfully decadent nachos featuring crawfish tails and crispy tortilla chips smothered in red beans, cheese, pico de gallo, and pickled jalapeños. Follow this up with a soul-satisfying and deliciously fragrant chicken-andouille sausage gumbo kicked up a notch with celery and peppers. Banana-chocolate bread pudding with vanilla ice cream turns heavenly when kissed with a boozy Bourbon cream sauce.",10305,40.61677,-74.06844,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vida, American,"All the locals love Vida, where popular Chef/owner Silva Popaz has created a cozy little restaurant with a firm commitment to simple, but well-executed, dishes. Inside the café-like atmosphere, you'll find unique artwork lining brightly painted walls, and a smattering of tables surrounding a long communal wood table in the center. The charming Popaz travels quite often, and the flavors she picks up along her journeys tend to make their way back into her menu at Vida. The ""Mexican Duo""-her most popular dish-features pulled pork- and chicken-stuffed tortillas, topped with a vibrant Chimayo chile and tangy cheese sauce, and paired with tender stewed beans sporting bright green onion; while a delicate bread pudding arrives puddled in creamy vanilla ice cream.",10304,40.62867,-74.07963,37.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crema, Mexican,"Thanks to her perseverance, focus, and vision, Chef/owner Julieta Ballesteros has ensured that Crema remains ahead of the curve and at the top of her neighborhood. The long dining room is colorful, with a cactus garden, vibrant Latin music, and a semi-open kitchen for a peek inside the buzz, especially during happy hour when small plates are flying to the bar. Like the vibe, the cooking favors bold tastes over subtlety.Daily soups showcase careful execution-the chicken and rice may look simple but is spiked with lime and topped with cilantro and grated queso fresco for superb comfort. Alambres de filet mignon pleases with lime-marinated and buttery skewered meat, served alongside beer-battered onion rings and bright lemon-basil chimichurri.",10011,40.73971,-73.99586,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le Cirque, European,"This legendary Sirio Maccioni restaurant opened its doors over 40 years ago to a very different Manhattan, but its timeless cuisine still packs the house. The dramatic interior alone warrants a visit: a beautiful semi-circular dining room boasting arching banquettes; a soaring wall of windows; and draping overhead canopies. Chef Raphael Francois is currently holding court in Le Cirque's kitchen, effortlessly blending time-honored recipes with delicious new additions. Don't miss the grilled octopus salad, with tender rainbow potatoes, cherry tomatoes, taggiasca olives, and fresh herbs; or the (Daniel Boulud-created) paupiette of black bass, wrapped in thin sheets of potato, laced with a lovely red wine sauce and served over melted leeks.",10022,40.76156,-73.96794,112.5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1
Harry's Cafe & Steak, American,"Nestled beneath the historic Hanover building, Harry's presents two distinct experiences. The casual Cafe and bar stand at the entrance, packed wall to wall with Wall Street suits haunting their local watering hole. Dining here is both cozy and communal, in an atmosphere that promises a fun time. Harry's Steak sits behind the Cafe, with its own bar and a series of snug rooms for a more intimate evening. Begin with a classic starter, like mushrooms stuffed with sweet, succulent lobster; but everyone really comes for the steak. Here, a prime hanger steak is perfectly seared, juicy, and tender-impressive for this particular cut-served with homemade béarnaise. There is no room left for disappointment, but maybe enough for the pecan bread pudding.",10004,40.70457,-74.00981,37.0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Degustation, Spanish,"With its slate-tiled walls and cozy lighting, this well-loved tapas bar is of the most elegant degree-and a romantic escape from the fray for couples on date night. Counter seating surrounds the spotless and very serious kitchen of Chef Nicholas Licata, and dapper proprietor Jack Lamb is a colorful presence. The skillfully rendered and enticingly presented small plates are ever-evolving. Expect hot and crunchy croquetas oozing with mushroom-infused cream; or zesty boquerones dressed with yuzu peel and breadcrumbs. Sunchokes are roasted whole and sent forth with pumpernickel ""soil"" and an addictive mound of ""funyons."" For a fantastic finale, cubes of seared pineapple are composed with white chocolate sponge cake and intensely green lime granita.",10003,40.72713,-73.98928,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taboon, Middle Eastern,"Taboon's namesake brick-walled, wood-fired oven is burning a bit brighter these days since Chef Efi Nahon has returned to Hell's Kitchen's finest Middle Eastern dining room. That oven not only provides a heartwarming welcome and sets the whitewashed interior aglow, but it is also responsible for baking the incredible plank of bread that is alone worth a trip here. Bring friends because this midtown marvel's recently revised menu is best enjoyed by grazing the zesty meze like house-made scallop and crab sausage shakshooka with poached quail egg, or wild mushroom bread pudding with creamy talleggio and romesco. Vegetables aren't spared the flames, as in a luscious and healthy pile of roasted broccolini splashed with orange oil.",10019,40.76627,-73.991,37.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Noche Mexicana II, Mexican,"If you had a Mexican tía, you'd want her to be one of the lovely chefs pounding masa and wrapping tamales at Noche Mexicana II. The tasty corner is dominated by two veranda doors that open onto the sidewalk-a perfect setting for the specialties this talented kitchen sends out routinely. Imagine huaraches con bistec topped with tender beef and teeming with refried beans, bright tomatoes, and sour cream. Those who venture uptown are not met with disappointment: tomate verde mole is accented with toasted pumpkin seeds and piquant chilies that cover the tender chicken; while brick-red chilate boasts plump shrimp swimming in a spicy guajillo broth with a sprinkling of cilantro and queso fresco. A fresh flan, the only dessert on the menu, is simply excellent.",10025,40.79751,-73.96811,18.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Miss Mamie's Spoonbread Too, Southern,"Come to Miss Mamie's and plan to indulge, Southern style. This tiny institution recently got a makeover in the bright, clean dining room-think comfier wicker chairs, roomier tables, and lots of flowers. Despite its more sophisticated appearance, the kitchen still embraces such tried and true classics as fried chicken thighs with black-eyed peas and collard greens, Louisiana catfish, and a creamy red velvet cake for dessert. Grab a fresh-squeezed lemonade and dive into the sampler, stocked with deep-fried shrimp, fall-off-the-bone beef short ribs, more fried chicken, and probably too many sides of cornbread stuffing and hop 'n John. End with a cinnamon-scented coffee and start planning a stop by Miss Maude's, the second location in Hamilton Heights.",10025,40.80143,-73.96095,18.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Enzo's of Arthur Ave, Italian,"It's easy to love Enzo's, a quaint red-sauce throwback on Arthur Avenue. In an area once dominated by Italian-American culture, including a library full of Italian literature, Enzo's sits among longstanding favorites and clearly is welcomed as part of the family. The popular bar invites local business owners and faculty from nearby Fordham University for casual conversation, while the kitchen churns out steaming plates of glistening clams oreganata and rich pastas delivered by a careful service team. The nostalgic Sunday special-pillow-soft gnocchi topped with tomato gravy and slow-braised pork braciola tucked with garlic, parsley, and cheese-is worth an end-of-weekend quest. So is the fresh swordfish steak with wonderfully assertive Livornese sauce.",10458,40.85438,-73.8888,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Good Fork, Contemporary,"The Good Fork is a destination restaurant, and foodies know that it's well worth the journey. Located on the food-centric Van Brunt Street near the Red Hook Waterfront, this inviting spot swaps New York pretense for pure passion-it's the dream of a married couple who built the restaurant from scratch, literally. Co-owner Ben Schneider crafted the space, while his classically trained wife, Chef Sohui Kim, helms the kitchen. Her cuisine reflects the team's commitment to the locality, as seen in such original dishes as pan-seared cod reclining on squid rings braised in a spicy kimchi broth; or hot and crisp manchego arancini cooled with yogurt and a fennel-tomato marmalade. A tres leches cake with fresh berry compote is a crowning way to close this meal.",11231,40.67587,-74.01427,37.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ki Sushi, Japanese,"Smith Street offers plenty of dining option to choose from, but Ki is this strip's sushi standout. Low-key and proffering good value, it is also a neighborhood favorite. At lunch, find downtown Brooklyn professionals taking a respite from the day's proceedings. At night, young couples and families routinely pack the room that brandishes a dim and earthy mien. Sample an array of cold and hot appetizers like yellowtail tartare with yuzu-ginger vinaigrette or rock shrimp tempura with creamy-spicy sauce. Follow this with creative maki, or better yet, the sushi deluxe platter. The skillfully constructed nigiri lineup features an array of fluke, sea bream, amberjack, and mackerel, as well as a roll stuffed with lean and deliciously unadulterated tuna.",11201,40.68774,-73.99009,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacificana, Chinese,"Among the best of the superior Chinese options in this far-flung pocket of Brooklyn, Pacificana is a bustling, airy second-floor jewel. After getting a number (which will be called out in Mandarin, Cantonese, and finally English) and waiting in the inevitable line, settle into a large, circular table along with other diners and prepare for a feast. The fun begins when silver dim sum carts start to roll by, hauling delicacies from the open kitchen. Service is curt as signature temptations such as plump pork dumplings and shrimp rice noodle rolls are plopped onto the table. Chicken with crunchy mustard greens, paired with preserved black beans and a steaming bowl of fluffy white rice is nothing short of heavenly so plan to linger here a while.",11220,40.63821,-74.00618,37.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Arharn Thai, Thai,"Dishes burst with delightfully refreshing flavor here at Arharn Thai. The small space is bright and clean, arranged with glass-topped tables, decked with artifacts from the motherland, and equipped with two flat screen TVs. An organized kitchen spins out goodies like khaum jep: steamed dumplings stuffed with ground chicken, shrimp, crabmeat, and meaty mushrooms, served with a wonderfully sticky- garlicky- and salty-dipping sauce. The exquisitely tender gob kra prow (frog legs) are marinated and fried until golden, then cooked with garlic, chili peppers, onions, coconut milk, and Penang curry paste. Roasted eggplant arrives white, silky, and sublime, tossed in a light and vibrant salad of citrus-lime dressing, then crowned with flaky dried shrimp.",11106,40.75625,-73.92855,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Mole, Mexican,"If the words sweet, competent, clean, and authentic come to mind, you're most likely thinking of this heart-warming haunt for delightful Mexican. Albeit a tad small, with a second dining room in the back, rest assured that De Mole's flavors are mighty, both in their staples (burritos and tacos) and unique specials-seitan fajitas anyone? This delightful pearl rests on a corner of low-rise buildings where Woodside meets Sunnyside, yet far from the disharmony of Queens Boulevard. Fans gather here for hearty enchiladas verdes con pollo, corn tortillas smeared with tomatillo sauce and queso blanco. Crispy chicken taquitos are topped with rich sour cream; steamed corn tamales are surprisingly light but filled with flavor; and the namesake mole is a must.",11377,40.73922,-73.9202,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zabb Elee, Thai,"This popular Isaan Thai restaurant, which focuses on hard-to-find Northeastern Thai fare, doesn't look like much from the simple façade. But once inside, you'll find a sweetly decorated space furnished with shiny metal tables that are in turn attended to by somewhat spaced out servers. The crowd here is mixed, and if you request your dinner be spiced authentically, they will indeed bring the heat. Unfortunately, the once spectacular menu has been reduced, and a few of the fan favorites no longer exist. Still, you can't miss with the yum moo krob, a delicious, crispy pork salad laced in a dressing featuring lime, fish sauce, crushed chilies, and scallion; or the larb ped, a lovely minced duck salad sporting pickled onions, Thai basil, and mint.",11377,40.74641,-73.89392,18.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gennaro, Italian,"Despite its age, Gennaro hasn't lost its good looks or popularity-it still packs in hungry locals nightly, who aren't deterred by its borderline gritty surrounds or no-reservations policy. Come early or risk waiting, which isn't so bad considering the bar, whose by-the-glass offerings are vast and very appealing with both familiar and unusual Italian choices. The menu can be overwhelming considering its long list of pastas and daily specials, so trust your gut and you can't go wrong. Start with the polenta, served almost quattro stagione-style, with gorgonzola, prosciutto, and sliced portobellos; before twirling your taste buds around chewy bucatini showered with pecorino and pepper. The tiramisu is a light, creamy, and fluffy slam dunk.",10025,40.79161,-73.97175,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Café Frida, Mexican,"Margaritas and guacamole, the two tentpoles of any good Mexican restaurant, become the standard bearers for all others at this Columbus Avenue fiesta. Guests sample sips from the extensive tequila list at the intricately carved bar, or scoop up chipfuls of tart, chunky guacamole at tables throughout the bi-level space. Regional specialties on the frequently changing menu let diners explore beyond the typical Mexican dishes, though traditional enchiladas simmered in deep, earthy mole are hearty and pleasing. Meanwhile, succulent lamb shank marinated in a guajillo sauce, avocado leaf, and olives is tender enough to make steak knives superfluous. Flaming dessert plantains with ice cream replace the same old sopaipillas for a new hot-and-cold sensation.",10024,40.78087,-73.97652,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barney Greengrass, Deli,"Bagels and bialys reign supreme in this culinary institution, set amid a culturally rich stretch dotted with lavish synagogues and purveyors of authentic deli delights. Not all are created equal, though, and little details make all the difference inside this sturgeon king, lauded for its weathered décor featuring muraled walls, a storied past, and service that is as authentically NY as can be. It's the sort of spot families flock to for brunch-imagine a triple-decker (tongue, turkey, and Swiss cheese) on rye paired with a pickle, of course. Whether you take-out or eat-in, chopped liver with caramelized onions and boiled egg is sure to sate. Finish with a perfect black-and-white cookie, rugelach, or rice pudding, Which are all favorites and fittingly so.",10024,40.78776,-73.9746,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sushi Sasabune, Japanese,"True, Sushi Sasabune has a drab dining room with service that is best described as efficient. That said, everyone comes for their omakase-only menu of pristine fish and skillfully prepared sushi, which deserves every ounce of its high praise. For those who don't already know the drill, abandon any idea of getting a spicy tuna roll-only truly authentic Japanese cuisine is served here. And it happens to be fantastic. The team sends out the finest from behind the counter and instructs you on exactly how to eat it, as in ""soy sauce"" or ""no soy sauce."" Cede control and delight in lean maguro drizzled with ponzu, kurodai nigiri sprinkled with crunchy sesame seeds, firm houbou brushed with hot ginger-soy sauce, and a creamy blue crab hand roll.",10021,40.76855,-73.95514,112.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Café el Portal, Mexican,"In an area paved by PR campaigns and flashy restaurants, one authentic Mexican spot trudges on, in a pocket-sized room decked out with the bright colors of a hacienda. While some may view it as kitschy (it's hardly a hipster hangout), foodies gather here for the unique cooking churned out of this genuine kitchen. The fundamentals that distinguish authentic tacos from the Tex-Mex version are more than adequately covered in the carnitas taco. Tortillas, properly warmed on the comal, encase tender pulled pork and jalapeño and are topped with a complex, spicy salsa with just a pinch of cilantro-as fresh as any native could hope to taste. Foodies are equally thankful for the flor de calabaza quesadilla drizzled with avocado purée and filled with zucchini.",10012,40.72103,-73.99457,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yakitori Totto, Japanese,"To say that this yakitori-ya nails authenticity is an epic understatement. Its discreet signage and second floor location feels more Tokyo than Manhattan, J-pop dominates the playlist, and the crowd is a reassuring mix of Japanese-speakers and in-the-know foodies. Best of all is the aroma of sizzling skewers that are deftly prepared over a charcoal fire. It's all about grilled meats here, like buta karashi-pork loin with sweet onion and spicy mustard-but that doesn't mean you should skip yakumi zaru tofu, soft cubes dressed with slivered green onion, bonito flakes, ginger, and ume salt. At lunch, go for yakitori don with skewers of chicken breast and green onion (negima) over rice, paired with pickled cucumbers and licked by a sweet yakitori sauce.",10019,40.76524,-73.98283,37.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Utsav, Indian,"Meaning ""festival"" in Sanskrit, Utsav is an upscale hideaway perched on a suspended corridor between two office buildings. The ground floor features a bar and small plaza with outdoor seating, while the upstairs dining room is swathed in gold fabric and spacious with floor-to-ceiling windows. Orchid-topped tables look even prettier once the food arrives. The wallet-friendly and over-flowing lunch buffet brings office workers in by droves, while the early evening prix-fixe is popular with the pre-theater crowd. Delights include tandoori chicken kali mirch liberally seasoned with crushed black pepper, as well as Hyderabadi shrimp curry with a bright red tamarind and chili sauce so tasty it begs to be sopped up by hot wedges of aloo paratha.",10019,40.75787,-73.98229,37.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Porter House, Steakhouse,"Michael Lomonaco's flagship steakhouse offers unparalleled views of Central Park from its Time Warner Center perch. Here, tables are well-spaced and allow for fine dining, but look for those few intimate booths located in the front bar area-they make for a great escape on busy nights. The views certainly distinguish this handsome retreat from the pack, as do its carefully selected aged meats, quality fish, and expert sides. The kitchen puts out a tasty helping of sweet and spicy onion rings, buttermilk-battered and deep-fried in portions designed for linebackers. The beautifully marbled ribeye is aged for more than 45 days and would be delicious simply seared, though a chili rub adds an aggressive spice. Cool down with a lightly dressed purslane salad.",10023,40.76879,-73.9827,112.5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Mandoo Bar, Korean,"Tasty, cheap, quick, and clean, Mandoo Bar knows exactly who it is and what it does well. A neon pink ""M"" lights up the front window, through which passersby can glimpse a sort of grandmotherly chef folding dumplings with myriad fillings. Each wrapper color indicates what is tucked within, with green for vegetable, white for pork, and pink for seafood. True to its name, these mandoo can be found on every table. Crisp fried pork goon mandoo are half-moon shaped and seared until brown and blistered, stuffed with minced pork seasoned with Chinese chives. Simple flavors are the hallmarks of their boiled vegetable dumplings-enticingly plump and chewy. The full kitchen also offers an array of larger dishes, like jap chae and bi bim bap.",10001,40.74721,-73.98594,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tsushima, Japanese,"A shiny black awning marks the entrance to this slightly antiseptic yet considerably authentic sushi bar. A few rooms done in traditional Japanese style provide seating choices at this den, which hums with business groups on the run as well as neighborhood dwellers seeking fantastic value lunches and terrific quality sushi in the evening. Choose to dine at their sushi counter or at a table in the well-lit dining room, attended to by speedy servers. Then, dive into generously sized lunch specials featuring perhaps a colorful chirashi, headlining yellowtail, salmon, tamago, and amberjack set deftly over well-seasoned sushi rice. Sticky-glazed eel, nicely grilled and plenty fatty, is an absolute must as is the impressive omakase for dinner.",10017,40.75447,-73.97284,37.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pera, Turkish,"For fantastically flavorful Turkish food mingled with modern influences, Pera never fails to please. Lunch does big business in this attractive dining room, layered in a chocolate-brown color scheme and packed with corporate groups and visitors looking for a sleek place to roost. Though dinner is more low-key, the menu always boasts simple and exceptional plates like warm hummus with pastirma; lentil and bulgur tartare; as well as watermelon chunks tossed with feta, fresh tomatoes, and a perfect trickle of olive oil. While service can verge on disorganized, all will be forgiven after a forkful of their classic and tender chicken adana or lamb burger-a juicy bunful of ground lamb coupled with garlic spread, homemade pickles, and addictively crispy fries.",10017,40.7524,-73.97942,37.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Ricardo Steakhouse, Steakhouse,"Walk up to the entrance of Ricardo Steakhouse on a Saturday night and don't be surprised to see imposing doormen focused on crowd control. Beloved by longtime locals, this place remains very popular for its genuine, ungentrified East Harlem vibe. Beyond its polished façade and wood-framed doors find small tables, eye-catching artwork, and on occasion, a formidable DJ. The menu combines whimsical wording and Latin influences with starters that range from empanadas or fried calamari to raw bar offerings. Heaping entrées (listed under ""Da Meats"") include the Ricardo Special, a grilled platter pairing tender skirt steak and a juicy pork chop with black beans, rice, and fried plantains. A few blocks north, Ricardo Ocean Grill is also satisfying crowds.",10029,40.79357,-73.9403,37.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Morandi, Italian,"From first sight, this prominent West Village location does much to resemble a farmhouse or cantina. Wood panels, antique tiles, tin ceilings, and shelves displaying straw-covered bottles of Chianti conjure an American's idyllic dream of Italy. The food is a more genuine reflection. Decadent beginnings might include tart and very crisp fried olives stuffed with meat. Plates of fried artichokes brightened with preserved lemon are unmissable, especially when paired with a choice of hand-stretched focaccia. Long twists of busiate al ragù di pesce spada are tossed with swordfish and excellent spicy almond pesto. Nightly specials showcase the likes of vitello alla Milanese with a crust so perfect and piping-hot, that it threatens to shatter with a fork.",10014,40.7354,-74.00142,62.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
The Little Owl, American,"Perched on a winsome corner of the West Village, Chef Joey Campanaro's The Little Owl continues to hold a dear place in the hearts of diners near and far who appreciate that simple food and great food can be one and the same. The broccoli soup (a pure, silky purée enriched with a trace of cream and crowned by a crouton of bubbling, aged cheddar) is among the best examples of this. The small corner room is quaint and despite this establishment's popularity, the service team is completely attitude-free. The wee kitchen is on display, and the focused crew turns out a rousing roster of preparations that may bear an affinity for Mediterranean cuisine such as seared cod with bagna cauda vinaigrette, and gravy meatball sliders, a hands-down house specialty.",10014,40.73239,-74.00505,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Las Ramblas, Spanish,"Sandwiched among a throng of attention-seeking storefronts, mighty little Las Ramblas is easy to spot, just look for the crowd of happy, munching faces. The scene spills out onto the sidewalk when the weather allows. Named for Barcelona's historic commercial thoroughfare, Las Ramblas is a tapas treat. A copper-plated bar and collection of tiny tables provide a perch for snacking on an array of earnestly prepared items. Check out the wall-mounted blackboard for especiales. Bring friends (it's that kind of place) to fully explore the menu which serves up delights such as succulent head-on prawns roasted in a terra-cotta dish and sauced with cava vinegar, ginger, and basil; or béchamel creamed spinach topped by a molten cap of Mahón cheese.",10014,40.73202,-74.00152,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Good, American,"Creamy walls and lime green wainscoting frame this cozy and comfortable little slice of Americana that has been pleasing Greenwich Village residents since 2000. Good also happens to be great for date night-the intimate bar pours top-shelf spirits and the muted dining room is dressed with crisp white linens. Everything has a certain serenity, even when it's bubbling at happy hour. Chef/owner Steven J. Picker's menu puts his own signature on tempting seasonal cooking. Beautifully seared squid and Japanese eggplant grilled until silky are adorned with summer beans, cherry tomatoes, and mint. Turkey scallopini is crisp and light, set atop a bed of frisée, shaved celery, and ricotta salata. Long live the tortilla-crusted, jalapeño-kicked mac and cheese!",10014,40.73745,-74.0019,37.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cafe Cluny, Contemporary,"This warm and cozy café flaunts its feminine persona with more than a touch of Village cool (and some occasional aloofness). There are ample windows for people-watching, or let your eyes wander to the botany drawings along the walls and bird sculptures decorating nooks. The Cluny burger accompanied by golden fries is a sure-fire hit; it arrives topless to showcase the perfectly charred and glistening meat. Once fully dressed with your choice of bib lettuce, tomato, and red onion slices, it literally drips with goodness-maybe right onto those beautifully crisped fries. Come dessert, go for a simple and outrageously good plate of biscotti, served in a ""jenga"" arrangement of bittersweet chocolate and walnut or pistachio and anise flavors.",10014,40.73739,-74.00414,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boqueria, Spanish,"Named after Barcelona's famed market, Boqueria does that vibrant emporium proud with an array of ingredient-driven tapas. Their tortilla Española is a true classic, served as a towering wedge of organic eggs, tender potatoes, and sweet onions. Kale reaches new heights as a sweet and earthy salad tossed with a rainbow of cumin-roasted carrots, toasted sunflower seeds, pomegranate arils, and a lush swipe of tangy labne. Bombas de la Barceloneta are crunchy, beef-stuffed potato croquettes plated with salsa verde and silken, garlicky aïoli. Envision high banquettes amid creamy hues, a white marble bar area filled with wooden boards of Spanish cheeses, olives in terra-cotta bowls, and crowds cooing over classic tapas like pan con tomate. Delicioso.",10011,40.74019,-73.99366,37.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sigiri, Sri Lankan,"Just off of Curry Row, Sigiri offers a sweetly spiced taste of Sri Lanka in an area known for its Indian dining. This second-floor room may be plain, but is very tidy with tables dressed in colorful linens that pop against the brownish walls. Stir-fried and slow-cooked specialties are sought after here, as in the black pork curry featuring an ink-dark sauce of roasted spices, chilies, black pepper, ginger, and cloves. The string hopper kotthu is deliciously traditional, served as a fluffy heap of rice noodles sautéed with bits of white meat chicken and an array of fresh vegetables with a small dish of vibrant coconut curry. Alcohol is not served, but a number of soft drinks are offered and guests are welcome to bring their own wine or beer.",10003,40.72614,-73.9866,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
